S.NO,Degree,Domain,Skill1,Skill2,Skill3,Certification,JobRole,Experience,Age,Location,Education_Level,University_Tier
612,B.Sc,Data Science,Excel,Python,Data Analysis,,Data Analyst,13,33,Australia,Bachelor,Tier 2
615,M.Tech,Computer Science,Cloud,Python,Research,AWS,Cloud Engineer,2,24,Australia,Bachelor,Tier 3
618,M.Tech,Electrical,Routers,Networking,Leadership,CCNA,Network Engineer,5,24,India,Master,Tier 3
620,M.Tech,Data Science,Statistics,Data Analysis,HTML/CSS,Google Cloud,Data Scientist,8,27,UK,Bachelor,Tier 3
623,B.Tech,Civil,Construction,Excel,Leadership,,Civil Engineer,2,25,Germany,Bachelor,Tier 1
626,M.Tech,Electrical,Circuits,Proteus,SQL,,Electrical Engineer,0,22,India,Bachelor,Tier 2
630,MBA,Marketing,Communication,SEO,Project Management,,Marketing Specialist,1,22,USA,Master,Tier 3
633,MBA,HR,Leadership,Payroll,HTML/CSS,,HR Manager,6,28,Canada,Master,Tier 3
635,M.Tech,Chemical,Process Design,Simulation,Python,,Chemical Engineer,6,27,USA,Diploma,Tier 2
636,M.Sc,Biotech,Research,PCR,HTML/CSS,,Biotech Researcher,7,32,UK,Master,Tier 2
637,B.Com,Data Science,Tableau,PowerBI,Research,AWS,Data Analyst,0,23,India,Master,Tier 2
640,MCA,Data Science,Spark,ETL,SQL,AWS,Data Engineer,7,32,Germany,Master,Tier 2
643,B.Tech,Civil,Construction,Project Management,Python,,Civil Engineer,4,24,UK,Bachelor,Tier 2
646,MBA,HR,Recruitment,Excel,HTML/CSS,,HR Manager,3,23,Germany,Bachelor,Tier 2
647,M.Tech,Mechanical,CAD,SolidWorks,Communication,,Mechanical Engineer,11,29,Germany,Bachelor,Tier 2
649,M.Tech,Security,Linux,Security,Leadership,,Security Analyst,1,22,Remote,Master,Tier 1
650,B.Tech,Security,Linux,Incident Response,Leadership,CCNA,Security Analyst,7,29,Germany,Bachelor,Tier 2
652,M.Tech,Civil,Surveying,AutoCAD,Leadership,,Civil Engineer,7,25,Germany,Bachelor,Tier 3
653,B.Tech,Data Science,Hadoop,Airflow,Communication,,Data Engineer,3,22,India,Master,Tier 3
655,BBA,Business,Communication,Sales,SQL,,Business Development Manager,2,26,Canada,Bachelor,Tier 3
658,B.Tech,Mechanical,SolidWorks,MATLAB,Excel,,Mechanical Engineer,1,24,India,Bachelor,Tier 2
662,BBA,Marketing,Analytics,Communication,HTML/CSS,Google Cloud,Marketing Specialist,9,32,Germany,Master,Tier 2
663,MCA,Data Science,Data Analysis,Statistics,Leadership,Google Cloud,Data Scientist,2,24,Germany,Bachelor,Tier 1
664,Ph.D,Data Science,Python,Data Analysis,Leadership,Google Cloud,Data Scientist,7,32,Remote,Diploma,Tier 2
666,MCA,Computer Science,Cloud,Python,Research,Azure,Cloud Engineer,10,32,UK,Bachelor,Tier 2
668,MCA,Data Science,Data Analysis,Pandas,Communication,,Data Scientist,15,36,UK,Master,Tier 3
670,BBA,Sales,Excel,Leadership,Communication,,Sales Manager,1,22,Canada,Master,Tier 3
672,B.Tech,Mechanical,Project Mgmt,Design,SQL,,Mechanical Engineer,11,35,India,Master,Tier 2
674,BBA,Sales,Leadership,CRM,Communication,,Sales Manager,15,36,UK,Bachelor,Tier 1
675,B.Tech,Electrical,PLC,MATLAB,Python,,Electrical Engineer,1,22,Canada,Bachelor,Tier 2
676,M.Tech,Electrical,Proteus,PLC,HTML/CSS,,Electrical Engineer,0,23,Canada,Bachelor,Tier 1
677,M.Tech,Data Science,SQL,ETL,Python,,Data Engineer,5,28,India,Diploma,Tier 2
678,B.Tech,Design,Prototyping,UI/UX,Leadership,,UI/UX Designer,4,29,India,Master,Tier 3
679,M.Tech,Management,Project Management,Risk Mgmt,HTML/CSS,Scrum,Project Manager,2,24,Australia,PhD,Tier 2
681,M.Tech,Data Science,ETL,Airflow,Research,AWS,Data Engineer,13,37,Germany,Master,Tier 1
683,MBA,Sales,Excel,CRM,Project Management,,Sales Manager,9,29,USA,Bachelor,Tier 1
686,B.Tech,Electrical,Circuits,Design,Research,,Electrical Engineer,7,29,UK,Bachelor,Tier 3
687,MBA,Sales,CRM,Leadership,Python,,Sales Manager,2,27,Australia,Master,Tier 3
689,M.Sc,Biotech,Research,PCR,Excel,,Biotech Researcher,11,30,Remote,Bachelor,Tier 1
690,B.Tech,Data Science,Spark,Airflow,Communication,,Data Engineer,12,34,Australia,Bachelor,Tier 1
691,B.Tech,Mechanical,Design,MATLAB,Communication,,Mechanical Engineer,13,34,Germany,Bachelor,Tier 2
693,M.Tech,Data Science,SQL,Pandas,Data Analysis,,Data Scientist,7,26,Germany,Diploma,Tier 3
696,B.Tech,Business,SQL,Data Analysis,Data Analysis,,Business Analyst,2,24,Canada,PhD,Tier 3
697,MA,Media,Communication,Content Strategy,Excel,,Content Writer,0,24,Australia,Bachelor,Tier 3
699,B.Tech,Electrical,PLC,MATLAB,SQL,,Electrical Engineer,13,38,Canada,Master,Tier 3
702,B.Sc,Biotech,Documentation,Biology,Excel,,Biotech Researcher,9,34,Germany,Bachelor,Tier 1
703,MBA,Operations,Supply Chain,ERP,Leadership,,Operations Manager,5,27,India,Bachelor,Tier 1
704,B.Tech,Civil,Surveying,Construction,Communication,,Civil Engineer,12,34,Germany,Master,Tier 2
708,BBA,Marketing,SEO,Analytics,Leadership,,Marketing Specialist,2,27,UK,Master,Tier 2
711,B.Tech,Mechanical,SolidWorks,MATLAB,Leadership,,Mechanical Engineer,7,31,UK,Diploma,Tier 3
715,MBA,Operations,Analytics,Supply Chain,Leadership,,Operations Manager,2,27,Germany,Bachelor,Tier 3
716,MBA,Operations,Leadership,Analytics,Research,,Operations Manager,4,29,Canada,Bachelor,Tier 3
717,M.Tech,Security,Incident Response,Network,Communication,,Security Analyst,2,22,Germany,Bachelor,Tier 2
721,M.Tech,Civil,Design,Surveying,Project Management,,Civil Engineer,11,32,UK,Bachelor,Tier 2
727,MBA,Operations,Supply Chain,Excel,HTML/CSS,,Operations Manager,7,26,UK,PhD,Tier 2
731,MBA,Business,Communication,Negotiation,Excel,,Business Development Manager,5,24,UK,Master,Tier 2
733,B.Tech,Data Science,Spark,SQL,HTML/CSS,,Data Engineer,1,22,India,Bachelor,Tier 3
734,Ph.D,Biotech,Biology,PCR,HTML/CSS,,Biotech Researcher,6,28,UK,Master,Tier 2
738,B.Tech,Data Science,Python,Data Analysis,HTML/CSS,Google Cloud,Data Analyst,2,24,India,Bachelor,Tier 1
739,B.Tech,Management,Scrum,Leadership,Research,PMP,Scrum Master,6,27,Australia,Bachelor,Tier 2
740,B.Tech,Civil,Construction,AutoCAD,Data Analysis,,Civil Engineer,13,35,India,Master,Tier 3
741,BBA,Sales,Strategy,Communication,Leadership,,Sales Manager,0,24,USA,Master,Tier 2
744,B.Com,Data Science,PowerBI,Data Analysis,Leadership,,Data Analyst,6,31,UK,Master,Tier 3
745,Ph.D,Data Science,Machine Learning,Python,Data Analysis,,Machine Learning Engineer,12,36,India,Diploma,Tier 3
749,MBA,Business,UML,Data Analysis,Python,,Business Analyst,9,28,USA,Bachelor,Tier 2
750,B.Tech,Electrical,PLC,Design,Data Analysis,,Electrical Engineer,1,25,Germany,Master,Tier 2
751,M.Tech,Chemical,MATLAB,Chemistry,Data Analysis,,Chemical Engineer,0,24,UK,Bachelor,Tier 2
753,B.Com,Marketing,SEO,Analytics,Communication,,Marketing Specialist,6,29,Australia,Master,Tier 2
754,B.Tech,Chemical,Chemistry,Safety,Project Management,,Chemical Engineer,15,38,UK,Bachelor,Tier 3
758,BBA,Sales,Excel,Strategy,HTML/CSS,,Sales Manager,9,32,Remote,Bachelor,Tier 1
760,B.Tech,Electrical,Design,Circuits,Communication,,Electrical Engineer,12,35,UK,Bachelor,Tier 3
766,M.Tech,Mechanical,Project Mgmt,MATLAB,Research,,Mechanical Engineer,4,27,Germany,Master,Tier 2
771,M.Tech,Chemical,Excel,Simulation,Python,,Chemical Engineer,9,27,India,Master,Tier 2
773,B.Tech,Electrical,Power Systems,Design,Excel,,Electrical Engineer,13,37,USA,Bachelor,Tier 3
774,M.Tech,Computer Science,Cloud,Docker,Excel,Google Cloud,Cloud Engineer,11,29,USA,PhD,Tier 3
776,MBA,Sales,Negotiation,Communication,Excel,,Sales Manager,6,24,Canada,Bachelor,Tier 1
777,B.Com,Data Science,Data Analysis,PowerBI,Communication,,Data Analyst,1,24,Australia,Bachelor,Tier 2
778,B.Tech,Data Science,Tableau,PowerBI,Python,AWS,Data Analyst,1,25,India,Master,Tier 2
779,M.Tech,Electrical,Power Systems,Design,Excel,,Electrical Engineer,0,21,Australia,Bachelor,Tier 2
783,MBA,Business,Strategy,Excel,Leadership,,Business Development Manager,3,24,India,Master,Tier 2
784,MBA,Marketing,Social Media,Marketing,Leadership,,Marketing Specialist,6,28,Remote,Bachelor,Tier 2
785,BBA,Business,Sales,Negotiation,Python,,Business Development Manager,13,31,USA,Diploma,Tier 2
786,B.Com,Marketing,Excel,SEO,Project Management,,Marketing Specialist,6,31,UK,Bachelor,Tier 1
787,B.Tech,Mechanical,Project Mgmt,MATLAB,Project Management,,Mechanical Engineer,2,22,Remote,Bachelor,Tier 2
789,MCA,Data Science,SQL,Data Analysis,Project Management,AWS,Data Scientist,8,28,Germany,PhD,Tier 2
791,B.Tech,Operations,Leadership,Operations,Research,,Operations Manager,9,30,Remote,Master,Tier 2
792,M.Sc,Biotech,Documentation,PCR,SQL,,Biotech Researcher,3,22,Remote,Master,Tier 1
793,B.Tech,Operations,Excel,Supply Chain,Project Management,,Supply Chain Manager,4,28,Australia,Bachelor,Tier 2
796,M.Tech,Management,Risk Mgmt,PMP Skills,Project Management,Scrum,Project Manager,8,31,Australia,Master,Tier 3
797,B.Tech,Operations,Supply Chain,Leadership,Excel,,Operations Manager,5,24,USA,Master,Tier 1
798,B.Sc,Biotech,Biology,Lab Techniques,HTML/CSS,,Biotech Researcher,5,24,Germany,PhD,Tier 2
802,B.Sc,Biotech,Lab Techniques,PCR,Research,,Biotech Researcher,0,25,Remote,Master,Tier 3
804,MBA,Business,Communication,Stakeholder Mgmt,Leadership,PMP,Business Analyst,3,25,Australia,Master,Tier 2
806,M.Tech,Management,Project Management,PMP Skills,Communication,PMP,Project Manager,1,21,Australia,PhD,Tier 2
807,B.Tech,Management,Scrum,Facilitation,Excel,Scrum,Scrum Master,15,35,Remote,Bachelor,Tier 3
809,BBA,Marketing,Marketing,Excel,HTML/CSS,Google Cloud,Marketing Specialist,7,32,Australia,Bachelor,Tier 3
811,Ph.D,Data Science,Pandas,Data Analysis,Communication,,Data Scientist,15,35,UK,Bachelor,Tier 2
812,M.Tech,Data Science,Hadoop,Spark,Data Analysis,Google Cloud,Data Engineer,0,21,Germany,Bachelor,Tier 2
814,Ph.D,Biotech,Data Analysis,Biology,HTML/CSS,,Biotech Researcher,9,33,Canada,Bachelor,Tier 2
815,B.Tech,Chemical,Safety,Process Design,Python,,Chemical Engineer,10,31,Remote,Diploma,Tier 2
817,MBA,Marketing,Social Media,Excel,Communication,Google Cloud,Marketing Specialist,11,33,India,Diploma,Tier 2
819,B.Tech,Chemical,Safety,MATLAB,Research,,Chemical Engineer,9,33,Canada,Bachelor,Tier 1
820,MCA,Data Science,SQL,Statistics,Project Management,Google Cloud,Data Scientist,5,30,USA,Master,Tier 3
822,BBA,Sales,Negotiation,Leadership,SQL,,Sales Manager,12,30,Germany,Master,Tier 1
825,BBA,Marketing,Communication,Analytics,HTML/CSS,,Marketing Specialist,4,26,India,Bachelor,Tier 1
826,B.Tech,Chemical,Simulation,MATLAB,HTML/CSS,,Chemical Engineer,13,36,Germany,PhD,Tier 3
827,B.Com,Marketing,Excel,Marketing,Python,Google Cloud,Marketing Specialist,5,25,Australia,Master,Tier 1
831,B.Tech,Operations,Leadership,Operations,Research,,Operations Manager,9,33,Remote,Bachelor,Tier 3
833,MBA,Sales,Strategy,Communication,Research,,Sales Manager,11,36,USA,PhD,Tier 2
835,B.Tech,Data Science,Data Analysis,PowerBI,HTML/CSS,,Data Analyst,15,37,Canada,PhD,Tier 3
838,BBA,Marketing,SEO,Analytics,Project Management,Google Cloud,Marketing Specialist,5,27,Australia,Bachelor,Tier 3
839,M.Tech,Mechanical,MATLAB,Project Mgmt,Data Analysis,,Mechanical Engineer,9,28,Remote,Bachelor,Tier 2
841,M.Tech,Mechanical,MATLAB,SolidWorks,Communication,,Mechanical Engineer,7,32,Germany,Bachelor,Tier 3
843,BBA,Sales,Strategy,Leadership,Project Management,,Sales Manager,10,34,India,Diploma,Tier 2
845,B.Tech,Electrical,PLC,Power Systems,Research,,Electrical Engineer,6,27,UK,Bachelor,Tier 3
846,M.Tech,Civil,Design,Excel,Data Analysis,,Civil Engineer,2,23,USA,Master,Tier 1
847,B.Tech,Business,UML,Stakeholder Mgmt,HTML/CSS,,Business Analyst,1,24,UK,Bachelor,Tier 1
849,M.Tech,Electrical,Power Systems,Circuits,Excel,,Electrical Engineer,1,22,UK,Bachelor,Tier 3
851,B.Com,Business,UML,Excel,Data Analysis,,Business Analyst,10,34,USA,PhD,Tier 2
852,MBA,Operations,Leadership,Operations,Python,,Operations Manager,5,29,Canada,Bachelor,Tier 1
855,MBA,Sales,Strategy,Leadership,Project Management,,Sales Manager,0,21,Australia,Bachelor,Tier 2
858,MBA,Finance,Financial Modeling,SQL,SQL,,Financial Analyst,11,34,Remote,Bachelor,Tier 2
860,BBA,HR,Payroll,Communication,Python,,HR Manager,5,23,Australia,Diploma,Tier 2
861,M.Sc,Biotech,Lab Techniques,PCR,Excel,,Biotech Researcher,6,30,Remote,Bachelor,Tier 2
862,B.Tech,Computer Science,Docker,Cloud,Project Management,Azure,Cloud Engineer,13,37,Remote,PhD,Tier 3
863,B.Tech,Civil,AutoCAD,Construction,Communication,,Civil Engineer,4,23,Germany,Master,Tier 1
864,MBA,Marketing,SEO,Excel,Data Analysis,,Marketing Specialist,2,22,USA,Master,Tier 2
867,Ph.D,Biotech,Research,Documentation,Data Analysis,,Biotech Researcher,0,25,India,Master,Tier 2
868,B.Tech,Data Science,Hadoop,Airflow,Communication,,Data Engineer,2,24,Canada,Bachelor,Tier 3
871,B.Tech,Civil,Surveying,Design,SQL,,Civil Engineer,7,26,Australia,Bachelor,Tier 3
875,B.Tech,Civil,Surveying,Excel,Python,,Civil Engineer,2,24,USA,Master,Tier 3
879,M.Tech,Mechanical,Design,Project Mgmt,Communication,,Mechanical Engineer,1,25,Germany,Master,Tier 1
880,B.Tech,Data Science,Airflow,Spark,Python,Google Cloud,Data Engineer,2,24,India,Bachelor,Tier 2
886,MBA,Operations,Supply Chain,Leadership,Python,,Operations Manager,13,31,Remote,Bachelor,Tier 2
890,B.Tech,Electrical,Networking,TCP/IP,Communication,CCNA,Network Engineer,2,27,India,Master,Tier 3
891,BBA,HR,Labor Laws,Communication,Research,,HR Manager,0,25,Canada,Bachelor,Tier 2
893,B.Tech,Civil,Surveying,AutoCAD,Project Management,,Civil Engineer,15,38,Remote,Bachelor,Tier 2
902,M.Tech,Data Science,Python,SQL,Excel,,Data Engineer,8,29,Canada,Bachelor,Tier 1
904,M.Tech,Data Science,SQL,Python,Communication,AWS,Data Engineer,8,31,USA,Bachelor,Tier 2
908,B.Tech,Security,Linux,Network,Research,,Security Analyst,3,27,USA,Bachelor,Tier 2
911,M.Tech,Electrical,Circuits,Proteus,Leadership,,Electrical Engineer,5,25,Australia,Bachelor,Tier 3
912,BBA,Sales,Excel,Strategy,Project Management,,Sales Manager,4,23,USA,Bachelor,Tier 1
913,MBA,Marketing,Marketing,Analytics,Python,,Marketing Specialist,12,36,Canada,Master,Tier 3
920,MBA,HR,Communication,Leadership,Data Analysis,,HR Manager,1,25,Canada,Master,Tier 1
922,M.Sc,Data Science,Machine Learning,Statistics,Python,Google Cloud,Data Scientist,13,35,Germany,Bachelor,Tier 1
924,B.Tech,Mechanical,Thermodynamics,MATLAB,SQL,,Mechanical Engineer,11,35,Remote,Master,Tier 3
926,B.Tech,Security,Security,SIEM,Communication,CCNA,Security Analyst,2,24,Canada,Master,Tier 2
928,B.Com,Business,Data Analysis,UML,Leadership,PMP,Business Analyst,3,26,India,Bachelor,Tier 2
929,MA,Media,Research,Content Strategy,Excel,,Content Writer,10,32,UK,Bachelor,Tier 2
931,B.Tech,Civil,Project Management,Excel,Research,,Civil Engineer,8,31,Remote,Bachelor,Tier 2
933,MBA,Business,Communication,Strategy,Leadership,,Business Development Manager,9,34,UK,Master,Tier 2
935,MBA,Operations,Planning,Supply Chain,Communication,,Supply Chain Manager,14,39,USA,Bachelor,Tier 2
936,M.Tech,Electrical,Proteus,Power Systems,HTML/CSS,,Electrical Engineer,10,34,Canada,Master,Tier 3
938,MCA,Data Science,SQL,Airflow,Excel,,Data Engineer,4,26,Canada,Bachelor,Tier 1
941,MBA,Management,Agile,Scrum,SQL,PMP,Scrum Master,1,22,Australia,Bachelor,Tier 1
942,Ph.D,Data Science,Statistics,Data Analysis,Project Management,AWS,Data Scientist,9,28,India,Master,Tier 2
945,M.Tech,Security,Linux,Python,Research,,Security Analyst,11,36,Germany,Bachelor,Tier 2
946,M.Tech,Electrical,Networking,CCNA,Leadership,CCNA,Network Engineer,0,21,India,Bachelor,Tier 3
948,MBA,Marketing,Marketing,Communication,Communication,,Marketing Specialist,6,31,Germany,Bachelor,Tier 2
949,B.Tech,Operations,Analytics,Leadership,SQL,,Operations Manager,13,35,India,Bachelor,Tier 2
955,M.Tech,Data Science,Pandas,Data Analysis,SQL,,Data Scientist,0,23,USA,Bachelor,Tier 2
957,M.Tech,Data Science,Python,Data Analysis,Communication,,Data Scientist,11,29,Canada,Bachelor,Tier 3
961,M.Sc,Data Science,Data Analysis,Python,Excel,AWS,Data Scientist,15,37,India,Master,Tier 2
963,Ph.D,Data Science,Pandas,Data Analysis,Python,,Data Scientist,8,32,USA,PhD,Tier 3
964,B.Com,Marketing,SEO,Analytics,Python,,Marketing Specialist,8,31,USA,Master,Tier 1
965,M.Tech,Mechanical,Thermodynamics,MATLAB,Research,,Mechanical Engineer,13,34,Canada,Diploma,Tier 2
966,MBA,Marketing,Excel,Analytics,Leadership,,Marketing Specialist,5,30,India,Master,Tier 2
968,MBA,HR,Leadership,Excel,Data Analysis,,HR Manager,10,31,Canada,Master,Tier 1
969,B.Sc,Biotech,Research,Lab Techniques,Communication,,Biotech Researcher,8,28,UK,Bachelor,Tier 2
972,M.Tech,Chemical,MATLAB,Simulation,Excel,,Chemical Engineer,4,27,Australia,Bachelor,Tier 1
973,B.Tech,Data Science,ETL,Hadoop,HTML/CSS,,Data Engineer,8,28,Canada,Bachelor,Tier 2
975,B.Tech,Mechanical,Project Mgmt,MATLAB,Excel,,Mechanical Engineer,5,29,Germany,Bachelor,Tier 3
978,BA,Media,SEO,Content Strategy,Project Management,,Content Writer,8,32,Remote,Master,Tier 2
979,MBA,Design,HTML/CSS,UI/UX,Leadership,,UI/UX Designer,10,30,UK,Bachelor,Tier 2
980,M.Tech,Data Science,PyTorch,Machine Learning,Research,,Machine Learning Engineer,8,30,India,Bachelor,Tier 2
982,B.Tech,Security,Incident Response,Python,Leadership,,Security Analyst,15,40,Australia,Bachelor,Tier 1
983,M.Tech,Civil,Surveying,Design,Excel,,Civil Engineer,9,32,Australia,PhD,Tier 3
984,B.Tech,Electrical,MATLAB,Design,Python,,Electrical Engineer,10,32,Australia,Master,Tier 2
985,B.Tech,Civil,Project Management,Excel,Python,,Civil Engineer,2,22,USA,Bachelor,Tier 2
987,B.Tech,Electrical,Power Systems,MATLAB,Research,,Electrical Engineer,14,33,Australia,Bachelor,Tier 3
990,MBA,Business,Strategy,Excel,SQL,,Business Development Manager,5,29,India,Diploma,Tier 3
991,MBA,Business,Strategy,Excel,HTML/CSS,,Business Development Manager,15,36,India,Diploma,Tier 2
992,MBA,Business,Communication,Negotiation,HTML/CSS,,Business Development Manager,2,22,UK,Master,Tier 1
994,B.Tech,Computer Science,Cloud,Azure,Communication,Google Cloud,Cloud Engineer,4,24,Canada,Master,Tier 1
999,MCA,Data Science,Spark,Python,Excel,AWS,Data Engineer,11,33,Canada,Bachelor,Tier 1
1000,B.Tech,Operations,Operations,ERP,Data Analysis,,Operations Manager,9,30,Germany,Bachelor,Tier 2
1005,M.Tech,Chemical,Simulation,Chemistry,Research,,Chemical Engineer,13,33,USA,Bachelor,Tier 3
1006,BBA,Business,Communication,CRM,HTML/CSS,,Business Development Manager,12,33,USA,Bachelor,Tier 2
1013,B.Com,Business,SQL,UML,Project Management,PMP,Business Analyst,14,39,India,Bachelor,Tier 1
1016,BBA,Business,Excel,Strategy,HTML/CSS,,Business Development Manager,2,23,India,Bachelor,Tier 2
1019,BA,Media,Content Strategy,Writing,Data Analysis,,Content Writer,12,34,USA,Master,Tier 1
1022,M.Tech,Chemical,Simulation,Process Design,SQL,,Chemical Engineer,10,28,Australia,Master,Tier 3
1023,M.Tech,Data Science,Hadoop,Spark,HTML/CSS,,Data Engineer,3,24,Germany,Master,Tier 1
1025,B.Tech,Chemical,Simulation,MATLAB,Leadership,,Chemical Engineer,13,32,India,Bachelor,Tier 2
1026,B.Tech,Electrical,Design,Proteus,Leadership,,Electrical Engineer,3,25,Remote,Bachelor,Tier 3
1027,MBA,Marketing,SEO,Social Media,Leadership,,Marketing Specialist,15,39,Canada,Bachelor,Tier 3
1035,Ph.D,Biotech,Data Analysis,Lab Techniques,Leadership,,Biotech Researcher,5,24,Canada,Bachelor,Tier 2
1040,M.Tech,Electrical,Proteus,Circuits,Excel,,Electrical Engineer,4,27,UK,Bachelor,Tier 2
1044,MBA,Business,Negotiation,Strategy,Excel,,Business Development Manager,15,36,Canada,Master,Tier 2
1045,M.Tech,Data Science,Spark,Hadoop,Leadership,AWS,Data Engineer,11,29,Canada,Master,Tier 1
1046,MBA,Design,UI/UX,Prototyping,Data Analysis,,UI/UX Designer,6,31,Remote,Diploma,Tier 3
1047,M.Tech,Electrical,Networking,Routers,Excel,CCNA,Network Engineer,1,23,Canada,Master,Tier 3
1049,MCA,Data Science,Python,Hadoop,SQL,,Data Engineer,2,24,India,PhD,Tier 3
1050,MBA,Business,SQL,Excel,Project Management,PMP,Business Analyst,3,22,Australia,Bachelor,Tier 2
1054,B.Tech,Data Science,Spark,SQL,Excel,Google Cloud,Data Engineer,5,29,Canada,Bachelor,Tier 1
1057,B.Tech,Security,Security,Incident Response,Research,CCNA,Security Analyst,10,35,USA,Bachelor,Tier 2
1058,MBA,Marketing,Marketing,Analytics,SQL,Google Cloud,Marketing Specialist,8,30,Germany,Bachelor,Tier 2
1059,BBA,HR,Leadership,Communication,Research,,HR Manager,1,23,Canada,Diploma,Tier 1
1064,B.Tech,Chemical,Process Design,Simulation,Project Management,,Chemical Engineer,8,30,Canada,Bachelor,Tier 2
1073,M.Sc,Biotech,PCR,Data Analysis,SQL,,Biotech Researcher,12,34,Remote,Bachelor,Tier 2
1077,M.Tech,Chemical,Excel,Simulation,Communication,,Chemical Engineer,4,29,USA,Bachelor,Tier 1
1079,BBA,Marketing,Marketing,Communication,Python,,Marketing Specialist,7,27,India,Bachelor,Tier 2
1080,B.Tech,Design,Prototyping,UI/UX,Data Analysis,,UI/UX Designer,2,22,Australia,Bachelor,Tier 2
1082,B.Des,Design,Graphic Design,UI/UX,Research,,UI/UX Designer,9,27,UK,Master,Tier 3
1084,B.Tech,Operations,ERP,Supply Chain,Communication,,Supply Chain Manager,7,27,Australia,Bachelor,Tier 3
1086,B.Com,Marketing,Excel,SEO,Research,Google Cloud,Marketing Specialist,4,29,Remote,Master,Tier 1
1087,MBA,Business,SQL,Excel,HTML/CSS,PMP,Business Analyst,3,24,Germany,Bachelor,Tier 2
1089,B.Tech,Data Science,PowerBI,Data Analysis,Project Management,,Data Analyst,15,37,Australia,PhD,Tier 2
1090,B.Tech,Data Science,SQL,Spark,Project Management,Google Cloud,Data Engineer,0,24,Canada,PhD,Tier 2
1096,MBA,Data Science,Tableau,SQL,Leadership,,Data Analyst,10,33,Remote,Bachelor,Tier 1
1097,Ph.D,Biotech,PCR,Biology,Excel,,Biotech Researcher,6,31,Canada,PhD,Tier 1
1098,MBA,Management,Project Management,Risk Mgmt,HTML/CSS,PMP,Project Manager,7,32,UK,Bachelor,Tier 2
1103,B.Tech,Operations,Supply Chain,Excel,Communication,,Operations Manager,4,23,Australia,Bachelor,Tier 3
1104,B.Tech,Operations,Analytics,ERP,Project Management,,Operations Manager,7,30,USA,Bachelor,Tier 2
1106,B.Com,Data Science,Excel,Python,Project Management,,Data Analyst,4,27,Canada,Master,Tier 2
1108,MBA,Business,UML,Data Analysis,Communication,PMP,Business Analyst,4,26,Remote,Bachelor,Tier 3
1112,MBA,Marketing,Analytics,Marketing,Python,,Marketing Specialist,8,27,Remote,Bachelor,Tier 1
1117,B.Tech,Civil,AutoCAD,Surveying,Excel,,Civil Engineer,5,26,USA,Diploma,Tier 3
1119,BBA,Business,CRM,Strategy,Project Management,,Business Development Manager,6,27,India,Bachelor,Tier 3
1120,B.Com,Data Science,Data Analysis,Python,Leadership,,Data Analyst,14,37,Germany,Master,Tier 3
1121,MBA,Sales,Communication,Leadership,Research,,Sales Manager,7,30,Germany,Master,Tier 2
1123,BBA,Marketing,SEO,Social Media,Data Analysis,,Marketing Specialist,1,25,India,Bachelor,Tier 3
1124,MBA,Business,SQL,Communication,Project Management,PMP,Business Analyst,1,22,Canada,Bachelor,Tier 3
1125,B.Com,Marketing,Analytics,Excel,Python,,Marketing Specialist,1,25,Germany,Bachelor,Tier 2
1130,MBA,Operations,Supply Chain,Leadership,Project Management,,Operations Manager,4,26,Germany,Bachelor,Tier 1
1131,B.Com,Data Science,Tableau,Python,Data Analysis,Google Cloud,Data Analyst,14,37,Australia,Master,Tier 3
1132,MBA,Business,Excel,UML,Project Management,,Business Analyst,2,24,UK,Master,Tier 3
1133,B.Com,Marketing,SEO,Marketing,Leadership,,Marketing Specialist,5,24,India,Bachelor,Tier 2
1136,B.Tech,Business,Stakeholder Mgmt,Communication,Python,,Business Analyst,10,35,Remote,Master,Tier 1
1137,B.Tech,Security,Network,Python,Research,,Security Analyst,4,24,Remote,Master,Tier 2
1139,B.Tech,Operations,Supply Chain,Excel,Project Management,,Supply Chain Manager,4,24,India,Master,Tier 2
1140,B.Com,Finance,Financial Modeling,Excel,Communication,,Financial Analyst,14,35,Remote,Bachelor,Tier 3
1143,B.Tech,Operations,Analytics,Leadership,SQL,,Operations Manager,8,33,Remote,Master,Tier 1
1144,MBA,Sales,Negotiation,CRM,Communication,,Sales Manager,4,23,Australia,Bachelor,Tier 1
1146,B.Tech,Design,HTML/CSS,UI/UX,Research,,UI/UX Designer,2,22,India,Bachelor,Tier 1
1148,BBA,Business,Negotiation,Strategy,SQL,,Business Development Manager,5,30,Australia,Bachelor,Tier 3
1149,B.Sc,Biotech,PCR,Biology,Data Analysis,,Biotech Researcher,2,24,UK,Bachelor,Tier 2
1150,MBA,HR,Leadership,Payroll,Excel,,HR Manager,2,25,Remote,Bachelor,Tier 2
1151,B.Tech,Data Science,Python,Airflow,Communication,,Data Engineer,4,23,Australia,Master,Tier 2
1154,B.Com,Business,SQL,UML,SQL,,Business Analyst,2,25,Australia,Master,Tier 3
1155,B.Tech,Civil,Surveying,AutoCAD,Data Analysis,,Civil Engineer,9,31,Canada,Master,Tier 2
1157,B.Tech,Security,Linux,Network,Excel,,Security Analyst,15,35,Remote,Bachelor,Tier 2
1160,MA,Media,Communication,Content Strategy,Excel,,Content Writer,13,33,India,Bachelor,Tier 2
1162,MCA,Data Science,Data Analysis,SQL,Python,Google Cloud,Data Scientist,2,24,UK,Bachelor,Tier 2
